# OSRS Items List - Format: item_id,item_name
# This file contains common OSRS items with correct wiki names

# === FOOD (Cooked) ===
10828,Helm of neitiznot
11128,Berserker helm
12605,Serpentine helm
19553,Ancestral hat

# === ARMOUR (Platebodies) ===
1127,Rune platebody
1111,Adamant platebody
1093,Mithril platebody
1069,Steel platebody
1115,Iron platebody
1117,Bronze platebody
10551,Fighter torso
12873,Bandos chestplate
13072,Armadyl chestplate
19548,Ancestral robe top

# === ARMOUR (Platelegs) ===
1079,Rune platelegs
1073,Adamant platelegs
1071,Mithril platelegs
1067,Steel platelegs
1067,Iron platelegs
1075,Bronze platelegs
12875,Bandos tassets
13073,Armadyl chainskirt
19551,Ancestral robe bottom

# === ARMOUR (Shields) ===
1201,Rune kiteshield
1185,Adamant kiteshield
1181,Mithril kiteshield
1177,Steel kiteshield
1175,Iron kiteshield
1189,Bronze kiteshield
12817,Elysian spirit shield
12825,Spectral spirit shield
12821,Arcane spirit shield
11283,Dragonfire shield
22003,Twisted buckler

# === ARMOUR (Boots) ===
11732,Dragon boots
13239,Primordial boots
13235,Pegasian boots
13237,Eternal boots
6920,Infinity boots
3105,Climbing boots

# === ARMOUR (Gloves) ===
7462,Barrows gloves
7461,Dragon gloves
7460,Rune gloves
22981,Ferocious gloves
21024,Zaryte vambraces

# === ARMOUR (Capes) ===
6570,Fire cape
21295,Infernal cape
21791,Mythical cape
13331,Ava's assembler
10499,Ava's accumulator
9672,Skill cape
13342,Max cape

# === ARMOUR (Amulets) ===
1731,Amulet of power
1725,Amulet of glory
6585,Amulet of fury
19547,Amulet of torture
19553,Necklace of anguish
12002,Occult necklace

# === ARMOUR (Rings) ===
2550,Ring of dueling(8)
2552,Ring of forging
2568,Ring of life
6731,Ring of suffering
19550,Ring of the gods

# === RUNES (Elemental) ===
554,Fire rune
555,Water rune
556,Air rune
557,Earth rune
558,Mind rune
559,Body rune
560,Cosmic rune
561,Chaos rune
562,Death rune
563,Blood rune
564,Nature rune
565,Law rune
566,Soul rune
9075,Astral rune
21880,Wrath rune

# === RUNES (Combination) ===
4694,Mist rune
4695,Dust rune
4696,Mud rune
4697,Smoke rune
4698,Steam rune
4699,Lava rune

# === ARROWS ===
882,Bronze arrow
884,Iron arrow
886,Steel arrow
888,Mithril arrow
890,Adamant arrow
892,Rune arrow
11212,Dragon arrow
21326,Amethyst arrow

# === BOLTS ===
877,Bronze bolts
9139,Iron bolts
9140,Steel bolts
9141,Mithril bolts
9142,Adamant bolts
9143,Rune bolts
21316,Dragon bolts
9244,Dragon bolts(e)

# === TOOLS (Mining) ===
1265,Bronze pickaxe
1267,Iron pickaxe
1269,Steel pickaxe
1273,Mithril pickaxe
1271,Adamant pickaxe
1275,Rune pickaxe
11920,Dragon pickaxe
13243,Crystal pickaxe

# === TOOLS (Woodcutting) ===
1351,Bronze axe
1349,Iron axe
1353,Steel axe
1355,Mithril axe
1357,Adamant axe
1359,Rune axe
6739,Dragon axe
13241,Crystal axe

# === TOOLS (Fishing) ===
307,Fishing rod
309,Fly fishing rod
311,Harpoon
301,Lobster pot
303,Small fishing net
305,Big fishing net
21028,Dragon harpoon
13258,Crystal harpoon

# === TOOLS (Other) ===
590,Tinderbox
946,Knife
1755,Chisel
1592,Amulet mould
1595,Necklace mould
1785,Glassblowing pipe
5523,Watering can

# === HERBS (Grimy) ===
199,Grimy guam leaf
201,Grimy marrentill
203,Grimy tarromin
205,Grimy harralander
207,Grimy ranarr weed
209,Grimy irit leaf
211,Grimy avantoe
213,Grimy kwuarm
215,Grimy cadantine
2485,Grimy lantadyme
217,Grimy dwarf weed
219,Grimy torstol

# === HERBS (Clean) ===
249,Guam leaf
251,Marrentill
253,Tarromin
255,Harralander
257,Ranarr weed
259,Irit leaf
261,Avantoe
263,Kwuarm
265,Cadantine
2481,Lantadyme
267,Dwarf weed
269,Torstol

# === SEEDS (Herb) ===
5291,Guam seed
5292,Marrentill seed
5293,Tarromin seed
5294,Harralander seed
5295,Ranarr seed
5296,Toadflax seed
5297,Irit seed
5298,Avantoe seed
5299,Kwuarm seed
5300,Snapdragon seed
5301,Cadantine seed
5302,Lantadyme seed
5303,Dwarf weed seed
5304,Torstol seed

# === SEEDS (Tree) ===
5312,Oak seed
5313,Willow seed
5314,Maple seed
5315,Yew seed
5316,Magic seed

# === SEEDS (Fruit Tree) ===
5283,Apple tree seed
5284,Banana tree seed
5285,Orange tree seed
5286,Curry tree seed
5287,Pineapple seed
5288,Papaya tree seed
5289,Palm tree seed
22869,Dragonfruit tree seed

# === LOGS ===
1511,Logs
1521,Oak logs
1519,Willow logs
1517,Maple logs
1515,Yew logs
1513,Magic logs
19669,Redwood logs

# === ORES ===
438,Copper ore
436,Tin ore
440,Iron ore
442,Silver ore
453,Coal
444,Gold ore
447,Mithril ore
449,Adamantite ore
451,Runite ore
21347,Amethyst

# === BARS ===
2349,Bronze bar
2351,Iron bar
2353,Steel bar
2355,Mithril bar
2357,Adamantite bar
2359,Runite bar

# === GEMS ===
1623,Uncut sapphire
1621,Uncut emerald
1619,Uncut ruby
1617,Uncut diamond
1631,Uncut dragonstone
6571,Uncut onyx
19496,Uncut zenyte

# === COINS & MISC ===
995,Coins
6529,Tokkul
13307,Ancient shard
13311,Dark totem base
12934,Zulrah's scales
12936,Tanzanite fang
12929,Serpentine visage
